"b_price_cn_1","b_price_jp_1","b_organic_1","b_spec_1","asc_nobuy_1","b_price_cn_2","b_price_jp_2","b_organic_2","b_spec_2","asc_nobuy_2","delta_class2","gamma_china_class2","gamma_seg1_class2","gamma_seg2_class2","gamma_seg3_class2","gamma_seg4_class2","logLike"
-0.120939364779644,-0.0256967727477709,1.38731198998928,1.21670324506379,-9.49826420336888,-0.266378277243672,-0.0144944397742041,-0.23122263154693,0.121487079815658,-2.80711826948178,-1.53962696253793,0.674490209156679,0.204129314407342,0.28176350792987,0.182324262711033,-0.407800291286905,-4370.20350769366
-0.12106121799343,-0.0257257562108415,1.38838644591842,1.21741363482522,-9.5063086621314,-0.265973050869715,-0.0144698345630309,-0.238122889567357,0.119627411192123,-2.80540573577107,-1.54009247805054,0.676567864195315,0.198222239944033,0.280947824870129,0.182013103984345,-0.404902799907225,-4370.19815672565
-0.121109134547141,-0.0257459662846228,1.38854196987781,1.21775975792083,-9.51306210902015,-0.266274786265444,-0.0144839890779447,-0.234148288681128,0.120470181971383,-2.80680187756516,-1.53939793337089,0.675019898631424,0.201429901098327,0.281213015194667,0.181986802771755,-0.406370824073749,-4370.1950134032
-0.12117009660586,-0.0257635748614483,1.38909236462357,1.21816098344717,-9.51817836909363,-0.266118749871297,-0.014474285426861,-0.236768302114806,0.119738097144648,-2.80614168512243,-1.53951056852044,0.675781485016244,0.199124474311001,0.280873368193037,0.181849931588458,-0.405206657846037,-4370.19313420126
-0.121341496951742,-0.0258238724944218,1.39033817472698,1.21937616942854,-9.53692574051359,-0.266219331055705,-0.0144750078202916,-0.236217009663125,0.119539378984493,-2.80669782310543,-1.53882099348023,0.675177545170249,0.199191192905926,0.280618978650007,0.181594603315036,-0.404991167900873,-4370.1902063562
-0.121335889206054,-0.0258257925726264,1.39037702866946,1.21940539885602,-9.53758537268836,-0.266204072270565,-0.0144748665634072,-0.236011589092036,0.119601296445313,-2.8065842082298,-1.5388233862609,0.675206105282486,0.199304669988681,0.280643664477626,0.181634680709679,-0.404984845324272,-4370.1901677298
-0.121308029958035,-0.0258321485600338,1.39051816048216,1.21949888079907,-9.53983117590413,-0.26611929859957,-0.0144735200177515,-0.235278822678262,0.119846022257797,-2.80598187072278,-1.53889649324962,0.675440067688248,0.199666726735885,0.280744871905961,0.181824688307341,-0.404880973237884,-4370.19008484115
-0.121304091392753,-0.0258320207115904,1.39052625763492,1.21949691547565,-9.53983505458468,-0.266095033333392,-0.0144728292860113,-0.235254325629664,0.119870569893403,-2.80581162278828,-1.53894028881772,0.67553668723647,0.19964639308136,0.280752413003429,0.181859454946756,-0.404825506160471,-4370.19007642796
-0.121301957094115,-0.0258311358211998,1.39052765734089,1.21948539589112,-9.53961854146197,-0.266057784636361,-0.0144716397461621,-0.235270616212185,0.119895434483797,-2.80554069818293,-1.53901793962525,0.675695076120409,0.19957812903396,0.280755190668201,0.181905467244093,-0.404730820188896,-4370.19006924856
-0.121304786474831,-0.0258307734611498,1.39052449580709,1.21948245804208,-9.53951330919039,-0.266052495663283,-0.0144714104119473,-0.235284441204856,0.119896420140249,-2.80549231904149,-1.53903141333698,0.675717927127388,0.199559553431362,0.280750528366463,0.181908131748675,-0.404716532095984,-4370.19006815637
-0.12130988499026,-0.0258304443211432,1.39052140761879,1.21948166350414,-9.53941623594838,-0.266049640387384,-0.0144712414142762,-0.235290744873751,0.119897645768114,-2.80545462134414,-1.5390395559929,0.675727890466438,0.199548867061551,0.280743642152062,0.181905841024778,-0.404709463128383,-4370.19006742559
-0.121311692977642,-0.0258304782322764,1.3905217570072,1.21948327901902,-9.53942747410531,-0.266050712519196,-0.0144712670441855,-0.235282150266656,0.119899170902622,-2.8054568881356,-1.53903655061431,0.675720485539068,0.199555675717446,0.280742280345164,0.181903374229175,-0.404713903907638,-4370.19006730288
