ID	PRICE	ORDI	ORGANIC	SPEC	CHOICE	MODE	EIOS	EIC	EIS	EIO	SEG2	SEG3	SEG4	SEG5	SEG1				
15004	290	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
15004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15005	170	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
15005	250	0	0	1	1	1	0	0	0	1	0	1	0	0	0				
15005	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15006	250	0	0	1	0	1	0	0	0	1	0	1	0	0	0				
15006	330	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
15006	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15007	290	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
15007	170	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
15007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
15008	330	1	0	0	0	1	0	0	0	1	0	1	0	0	0				
15008	250	0	1	0	1	1	0	0	0	1	0	1	0	0	0				
15008	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0				
16001	210	0	0	1	1	1	0	0	0	1	0	0	0	1	0				
16001	170	0	0	1	0	1	0	0	0	1	0	0	0	1	0				
16001	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0				
16002	250	0	1	0	1	1	0	0	0	1	0	0	0	1	0				
16002	210	0	0	1	0	1	0	0	0	1	0	0	0	1	0				
16002	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0				
16003	330	0	1	0	0	1	0	0	0	1	0	0	0	1	0				
16003	330	1	0	0	1	1	0	0	0	1	0	0	0	1	0				
16003	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0				
16004	170	0	0	1	0	1	0	0	0	1	0	0	0	1	0				
16004	290	0	1	0	1	1	0	0	0	1	0	0	0	1	0				
16004	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0				
16005	170	1	0	0	0	1	0	0	0	1	0	0	0	1	0				
16005	250	0	0	1	1	1	0	0	0	1	0	0	0	1	0				
16005	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0				
16006	250	0	0	1	0	1	0	0	0	1	0	0	0	1	0				
